Date,Time,Location,LOCATION,LOCATION_EXACT,Operator,OPERATOR_TYPE,Flight #,Route,FROM,FROM_LONGITUDE,FROM_LATITUDE,FROM_STATE,TO,TO_LONGITUDE,TO_LATITUDE,TO_STATE,Type,Registration,cn/In,Aboard,Fatalities,Ground,Summary,Reason,Crash_ID
3/15/2002,2:00,"Alma, Wisconsin",Alma,Wisconsin,Priorty Air Charter,Cargo,,Minneapolis - Detroit,Minneapolis,-93.26667,44.983334,,Detroit,-83.0457538,42.331427,,Cessna 208B Caravan I Super Cargomaster,N228PA,208B-0049,1,1,0,"After encountering icing, the pilot of the cargo plane decided to divert to the nearest airport but continued to lose altitude until he crashed into trees. The pilot not removing the ice contamination from the airplane prior to departure and the pilot intentionally flying into known severe icing conditions, resulting in the aircraft not being able to maintain altitude/clearance from the terrain. Factors to the accident included the icing conditions and the trees encountered during the forced landing.",0,3/15/2002Cessna 208B Caravan I Super Cargomaster
10/25/2002,10:22,"Eveleth, Minnesota",Eveleth,Minnesota,Aviation Charter - Air Taxi,Others,-,St. Paul - Eveleth,St. Paul,-93.0899578,44.9537029,,Eveleth,-92.5399063,47.4624279,,Beechcraft King Air A100,N41BE,B-245,8,8,0,"The private charter flight crashed and burned in a wooded area 2 miles from Eveleth-Virginia Municipal Airport where it was scheduled to land. Weather was visibility 2 miles in freezing rain. Light snow and light fog. Minnesota Senator Paul Wellstone, 58, killed, along with his wife, daughter, three staff members and a crew of two. During the later stages of the approach, the flight crew failed to monitor the airplane's airspeed and allowed it to decrease to a dangerously low level and to remain below the recommended approach airspeed for about 50 seconds. The flight crew failed to recognize that a stall was imminent and allowed the airplane to enter a stall from which they did not recover. The  inadequate  airspeed  or  the  full  course deviation indicator needle deflection should have prompted the flight crew to execute a go-around; however, they failed to do so.",2,10/25/2002Beechcraft King Air A100
10/14/2004,22:15,"Jefferson City, Missouri",Jefferson City,Missouri,Pinnacle Airlines/Northwest Airlink,Others,3701,Little Rock - Minneapolis,Little Rock,-92.2895948,34.7464809,,Minneapolis,-93.26667,44.983334,,Canadair CRJ200LR RegionalJet,N8396A,10161,2,2,0,"On a night repositioning flight, while en route, the stick shaker activated several times before the plane entered a aerodynamistall. Almost simultaneously both engines stopped. The crew declared an emergency but the plane did not make the airport, crashed and broke up. PC:  The pilots' unprofessional behavior, deviation from standard operating procedures, and poor airmanship, which resulted in an in-flight emergency from which they were unable to recover, in part because of the pilots' inadequate training The pilots' failure to prepare for an emergency landing in a timely manner, including communicating with air trafficontrollers immediately after the emergency about the loss of both engines and the availability of landing sites and the pilots' failure to achieve and maintain the target airspeed in the double engine failure checklist, which caused the engine cores to stop rotating and resulted in the core lock engine condition. Contributing to this accident was the engine core lock condition, which prevented at least one engine from being restarted, and the airplane flight manuals that did not communicate to pilots the importance of maintaining a minimum airspeed to keep the engine cores rotating.",3,10/14/2004Canadair CRJ200LR RegionalJet
9/18/2001,7:30,"Guatemala City, Guatemala",Guatemala City,Guatemala,AtlantiAirlines,Others,870,"Guatemala City - San Pedro Sula, Honduras",Guatemala City,-90.532818,14.624795,,San Pedro Sula,-88.02774,15.50167,Honduras,LET 410UVP-E,TG-CPE,861705,13,9,0,The aircraft was taking off from Guatemala's Aurora Airport when it lost power in one of it's engines and crashed to the ground.,0,9/18/2001LET 410UVP-E
8/24/2008,9:40,"Near CabaÃ±as, Guatemala",Near CabaÃ±as,Guatemala,AÃ©reo Ruta Maya,Others,,Guatemala City - El Estor,Guatemala City,-90.532818,14.624795,,El Estor,-89.3336111,15.5236111,,Cessna 208B Grand Caravan,TG-JCS,208-00327,14,11,0,The plane lost engine power and the crew attempted an emergency landing in a field but crashed.,3,8/24/2008Cessna 208B Grand Caravan
11/30/2004,19:56,"Saint Louis, Missouri",Saint Louis,Missouri,Grand Aire,Others,,Saint Louis - Toledo,Saint Louis,-90.1994042,38.6270025,,Toledo,-83.555212,41.6639383,,HBB HFB-320 Hansa Jet,N604GA,1037,2,2,0,Shortly after taking off the plane lost altitude and crashed on Howell Island a few miles from the airport. The maintenance facility failed to properly install and inspect the elevator trim system resulting in the reversed elevator trim condition and the pilot's failure to maintain clearance with the terrain. Contributing factors included the dark night and low ceiling.,1,11/30/2004HBB HFB-320 Hansa Jet
10/19/2004,7:45,"Near Kirksville, Missouri",Near Kirksville,Missouri,Corporate Airlines (American Connection),Others,5966,"St. Louis, MO - Kirkville, MO",St. Louis,-90.1994042,38.6270025,MO,Kirkville,-75.9518617,43.0750671,MO,Bae Jetstream 3201,N875JX,875,15,13,0,"The turboprop crashed 4 miles south of Kirksville while on approach to Kirksville Municipal Airport. The plane clipped tree tops before crashing on its belly into a wooded area. Data show the plane descending then climbing slightly in the last four seconds before impact. The plane lacked a modern terrain warning system which would have been required equipment the next year. The pilots' failure to follow established procedures and properly conduct a nonprecision instrument approach at night in instrument meteorological conditions, including their descent below the minimum descent altitude before required visual cues were available (which continued unmoderated until the airplane struck the trees) and their failure to adhere to the established division of duties between the flying and nonflying pilots. Contributing to the accident were the pilots' failure to make standard callouts and the current Federal Aviation Regulations that allow pilots to descend below the MDA into a region in which safe obstacle clearance is not assured based upon seeing the airport approach lights. The pilots' failure to establish and maintain a professional demeanor during the flight and their fatigue likely contributed to their degraded performance.",0,10/19/2004Bae Jetstream 3201
10/16/2000,17:33,"Hillsboro, Missouri",Hillsboro,Missouri,Private,Others,,St. Louis - New Madrid,St. Louis,-90.1994042,38.6270025,,New Madrid,-89.5278547,36.5864488,,Cessna 335,N8354N,335-0064,3,3,0,"The twin engine Cessna crashed into a densely wooded area, 30 miles south of St. Louis, 25 minutes after taking off from Parks Airport. The plane was flying in rain and fog when the pilot reported he was at 6,500 feet and having problems with the artificial horizon. Radar contact was soon lost with the aircraft.  Witnesses reported hearing a plane in a dive followed by an explosion.  Wreckage was scattered over a wide area.  Mel Carnahan, 66, Governor of Missouri was killed in the accident along with a campaign aide and his son, Roger, who was piloting the plane.",3,10/16/2000Cessna 335
8/13/2004,0:50,"Cincinnati, Ohio",Cincinnati,Ohio,Air Taroma,Others,185,Memphis - Cincinnati,Memphis,-90.0489801,35.1495343,,Cincinnati,-84.5120196,39.1031182,,Convair CV-580,N586P,68,2,1,0,"While on approach at night,, the crew reported engine trouble. Shortly after the aircraft crashed on a golf course short of Runway 36R. Fuel starvation resulting from the captain's decision not to follow approved fuel crossfeed procedures. Contributing to the accident were the captain's inadequate preflight planning, his subsequent distraction during the flight, and contributing to the accident was the flightcrew's failure to monitor the fuel gauges and to recognize that the airplane's changing handling characteristics were caused by a fuel imbalance.",3,8/13/2004Convair CV-580
2/21/2008,17:00,"Merida, Venezuela",Merida,Venezuela,Santa Barbara Airlines,Others,518,Merida - Caracas,Merida,-89.615789,20.979721,,Caracas,-66.902061,10.491016,,ATR-42-300,YV-1449,28,46,46,0,"Struck a mountain at 13,500 feet and disintegrated shortly after departing Merida.",0,2/21/2008ATR-42-300
5/30/2008,9:40,"Tegucigalpa, Honduras",Tegucigalpa,Honduras,TACA International Airlines,Others,390,"San Salvador, El Salvador - Tegucigalpa, Honduras - Miami",San Salvador,-89.20181,13.706881,El Salvador,Tegucigalpa,-87.2166667,14.0833333,Honduras - Miami,Airbus A-320-233,EI-TAF,1374,136,3,2,"After making a missed approach and during the second attempt at landing at Toncontin Airport, the plane overran the runway, skidded across a street, struck cars and came to rest against an embankment. The runway was wet with rain from Tropical Storm Alma.",0,5/30/2008Airbus A-320-233
7/31/1999,8:30,"Marine City, Michigan",Marine City,Michigan,Private,Others,-,Sky Diving,Sky Diving,-88.7001111,44.0413711,,,NA,NA,,Beech King Air 65-A90,N518DM,LJ-251,10,10,0,"The aircraft, which was carrying members of a skydiving club, crashed shortly after taking off from Marine City Airport. Witnesses reported the plane banked hard to the right and flew into the ground. The aircraft was destroyed by fire. The pilot's failure to maintain adequate airspeed, which resulted in a stall, inflight loss of control and collision with the ground.",1,7/31/1999Beech King Air 65-A90
10/23/2002,19:45,"Spanish Fort, Alabama",Spanish Fort,Alabama,Mid-AtlantiFreight,Cargo,282,Mobile - Mongomery,Mobile,-88.0430541,30.6943566,,Mongomery,-86.2999689,32.3668052,,Cessna 208B Cargomaster I,N76U,208B-0775,1,1,0,"While en route the pilot of the cargo plane radioed was in an uncontrolled descent. The plane impacted the water in Big Bateau Bay. The pilot's spatial disorientation, which resulted in loss of airplane control. Contributing to the accident was the night instrument meteorological conditions with variable cloud layers",0,10/23/2002Cessna 208B Cargomaster I
2/16/2003,20:02,"Ferguson, Kentucky",Ferguson,Kentucky,Air Taxi - Great Northern Aircraft Co.,Others,,"Griffith-Merrill, IN - Somerset, KY",Griffith,-87.4236497,41.5283693,,Merrill,-89.683459,45.1805223,"IN - Somerset, KY",Cessna 421,N421TJ,421-0051,7,3,0,"The aircraft was destroyed during a collision with trees and terrain in Ferguson, Kentucky, while on an instrument approach to Somerset-Pulaski County Airport. The pilot's failure to follow the instrument approach procedure, which resulted in an early descent into trees and terrain. Factors included the low ceiling and the night lighting conditions.",1,2/16/2003Cessna 421
11/13/2008,11:35,"Fallujah, Iraq",Fallujah,Iraq,Falcon Aviation Group,Cargo,,al-Asad air base - Baghdad,al,-86.902298,32.3182314,,Asad air base - Baghdad,44.422,33.325,,Antonov An-12,S9-SAO,346908,7,7,0,"The cargo plane, chartered by FedEx, crashed west of Baghdad, shortly after taking off from al Asad air base and after the crew reported a malfunction with the plane.",0,11/13/2008Antonov An-12
7/20/1999,11:00,"Near Bluefields, Nicaragua",Near Bluefields,Nicaragua,La Costena,Others,46,Managua - Bluefields,Managua,-86.2513889,12.1363889,,Bluefields,-83.766037,12.01066,,Cessna 208B Grand Caravan,YN-CED,208B-0341,16,16,0,"Crashed into a hill at 2,000 ft. while flying VFR in low clouds and rain while approaching Bluefields. The pilot-in-command descended below safe minimum height of 2,700 ft.",0,7/20/1999Cessna 208B Grand Caravan
1/21/1999,8:10,"Bluefields, Nicaragua",Bluefields,Nicaragua,Fuerza AÃ©rea Nicaragua,Others,,Managua - Bluefields,Managua,-86.2513889,12.1363889,,Bluefields,-83.766037,12.01066,,Antonov AN-26,,,28,28,0,"The plane, on a relief mission to Bluefields was waved off from landing because of a blocked runway. While navigating around for another landing attempt, the aircraft crashed into mountainous terrain.",0,1/21/1999Antonov AN-26
8/15/2000,8:25,"Lumber City, Georgia",Lumber City,Georgia,Air Taxi,Others,,"Dothan, AL - Hazelhurst, GA",Dothan,-85.3904888,31.2232313,AL,Hazelhurst,-89.7251462,45.8077321,GA,Piper PA-31-350,N801MW,31-8152136,3,3,0,While on approach the airplane collided with trees and the ground and subsequently burst into flames.  Pilot's failure to follow instrument procedures and descended below approach minimums and collided with trees.,1,8/15/2000Piper PA-31-350
8/27/2006,6:07,"Lexington, Kentucky",Lexington,Kentucky,Comair,Others,5191,"Lexington, KY - Atlanta, GA",Lexington,-84.5037164,38.0405837,KY,Atlanta,-84.3879824,33.7489954,GA,Canadair CRJ-200ER,N431CA,7472,50,49,0,"The jet commuter was the third of three airplanes to take off that morning. The previous two planes took off from Runway 22 without any problems. The flightcrew was cleard to taxi to Runway 22 and subsequently cleared for takeoff. However, flight 5191 used Runway 26, which is about half the length of Runway 22. The plane accelerated to 137 knots befoe it ran off the end of the runway, ran through an airport perimeter fence and impacted trees on an adjacent horse farm and burst into flames. The takeoff sequence took about 36 seconds.  The aircraft was still on the ground as the plane ran off the runway.The plane came to rest about 1,800 feet past the runway. It was dark with light rain at the time of the accident. The copilot was at the controls but it was the captain who taxied the plane into position for take off. The copilot was the lone survivor. The flight crew's failure to use available cues and aids to identify the airplane's location on the airport surface during taxi and their failure to cross check and verify that the airplane was on the correct runway before takeoff. Contributing to this accident were the flight crew's nonpertinent conversation during taxi, which resulted in loss of positional awareness and the Federal Aviation Administration's failure to require that all runway crossings be authorized only by specifiair trafficontrol clearances.",1,8/27/2006Canadair CRJ-200ER
12/17/2002,22:51,"Rockford, Illinois",Rockford,Illinois,Planemasters,Cargo,1627,Decatur - Rockford,Decatur,-84.2963123,33.7748275,,Rockford,-89.0939952,42.2711311,,Cessna 208B Caravan I Super Cargomaster,N277PM,208B-0143,1,1,0,"While attempting to land, the cargo plane struck trees and crashed into a field. The pilot's failure to maintain control of the airplane during the ILS approach. Factors associated with the accident were the low ceilings, high winds, crosswind, and wind shear conditions that existed.",1,12/17/2002Cessna 208B Caravan I Super Cargomaster
7/21/2000,10:20,"Maui, Hawaii",Maui,Hawaii,Blue Hawaiian Helicopters,Others,,Sight seeing,Sight seeing,-84.0819715,9.9265198,,,NA,NA,,Aerospatiale AS355-F1,N510TG,5168,7,7,0,"The helicopter, on a sightseeing tour, crashed into mountains on the western slopes of Maui at an elevation of 2,850 feet inclement weather.",2,7/21/2000Aerospatiale AS355-F1
3/26/2001,18:25,"Jadura, Indonesia",Jadura,Indonesia,Merpati Nusantara Airlines,Others,,Training,Training,-83.0853796,29.6424188,,,NA,NA,,Fokker F-27 Friendship 500F,PK-MFL,10609,3,3,0,"While approaching Juanda for the 8th touch-and-go landing the aircraft banked to the left, crashed and caught fire.",0,3/26/2001Fokker F-27 Friendship 500F
5/23/2006,18:22,Off SÃ£o TomÃ© Island,Off SÃ£o TomÃ© Island,,Air SÃ£o TomÃ©,Others,,Training,Training,-83.0853796,29.6424188,,,NA,NA,,de Havilland Canada DHC-6 Twin Otter 300,S9-BAL,648,4,4,0,The aircraft disappeared from radar screens while on approach to SÃ£o TomÃ© Island. The aircraft crashed in sea a  few km off shore.,0,5/23/2006de Havilland Canada DHC-6 Twin Otter 300
5/14/2006,12:32,"La Ronge, Saskatchewan",La Ronge,Saskatchewan,Saskatchewan Government Northern Air Operations,Others,,Training,Training,-83.0853796,29.6424188,,,NA,NA,,Convair CV-580,C-GSKJ,202,3,1,0,"On a climbout after a touch-and-go landing, the aircraft veered to the left, lost altitude and crashed in a wooded area 1 nm northwest of the airport.",0,5/14/2006Convair CV-580
6/27/2000,,"Off Shimano, Japan",Off Shimano,Japan,Military - Japanese Air Self-Defence Force,Military,,Training,Training,-83.0853796,29.6424188,,,NA,NA,,Kawasaki C-1A,88-1027,8027,5,5,0,Crashed into the sea during a test flight.,0,6/27/2000Kawasaki C-1A
4/28/2005,11:28,"Pisco, Peru",Pisco,Peru,Military - Fuerza Del Peru,Military,,Training,Training,-83.0853796,29.6424188,,,NA,NA,,Let 410UVP,EP-830,790304,13,13,0,"While taking off on a training flight, the twin engine aircraft stalled and crashed near a petroleum facility near the airport.",3,4/28/2005Let 410UVP
6/30/2003,10:50,"Blida, Algeria",Blida,Algeria,Military - Algerian Air Force,Military,,Training,Training,-83.0853796,29.6424188,,,NA,NA,,Lockheed C-130H Hercules,7T-WHQ,4926,4,4,11,"The military plane crashed into houses in the Beni Mered neighborhood, west of the Algerian capital, shortly after takeoff from the Boufarik military airport, 25 miles southwest of the capital. Witnesses reported seeing an engine on fire prior to the crash.",3,6/30/2003Lockheed C-130H Hercules
3/31/2005,20:00,"Near Rovie, Albania",Near Rovie,Albania,Military - U.S. Air Force,Military,,Training,Training,-83.0853796,29.6424188,,,NA,NA,,Lockheed Hercules MC-130H,87-0127,5118,9,9,0,While on a training mission the aircraft crashed into a mountainous area and was destroyed.,0,3/31/2005Lockheed Hercules MC-130H
5/24/1999,13:15,"Kunching, Malaysia",Kunching,Malaysia,Military - Malaysian Air Force,Military,,Training,Training,-83.0853796,29.6424188,,,NA,NA,,de Havilland Canada DHC-4A,M21-05,270,5,5,0,Crashed while attempting to take off.,0,5/24/1999de Havilland Canada DHC-4A
11/27/2008,17:00,"Off Perpignan, France",Off Perpignan,France,XL Airways leased from Air New Zealand,Others,,Training,Training,-83.0853796,29.6424188,,,NA,NA,,Airbus A320-232,D-AXLA,2500,7,7,0,"The Airbus A320 was leased by XL Airways of Germany since May 2006. The plane was scheduled to be returned to its owner, Air New Zealand. The plane was ferried to Perpignan, France where it underwent maintenance at EAS Industries. During a second test flight, on approach to Perpignan, at 3,500 feet, radio contact was lost. A controller reported seeing the plane descending quickly in a left bank. The aircraft soon after crashed into the sea and broke up.",0,11/27/2008Airbus A320-232
1/17/2004,16:40,"Lake Erie, off Pelee Island, Ontario, Canada",Lake Erie,"off Pelee Island, Ontario, Canada",Georgia Express,Others,126,"Pelee Island, Ontario - Windsor, Ontario",Pelee Island,-82.6591465,41.7744889,Ontario,Windsor,-83.0363633,42.3149367,Ontario,Cessna 208B Grand Caravan,C-FAGA,208B-0658,10,10,0,"he pilot reported having trouble shortly after taking off from Pelee Island. The single engine plane crashed into Lake Erie one third of a mile west of Pelee Island in snow showers and freezing rain. The plane was overloaded by 1,270 lbs. In addition, the Cessna's surfaces were laden with ice.",3,1/17/2004Cessna 208B Grand Caravan
12/25/1999,20:15,"Bejuma, Venezuela",Bejuma,Venezuela,Cubana de Aviacion,Others,310,Havana - Valencia,Havana,-82.388557,23.1168,,Valencia,-0.3762881,39.4699075,,Yakovlev YAK-42D,CU-T1285,4.52E+12,22,22,0,"While on approach, after circling for 40 minutes and 5 miles from Valencia Airport,  the aircraft crashed into the Tocuyito mountain range and exploded in flames. The airport at Valencia was being used as operations at Simon Bolivar International Airport, Caracas had been disrupted by flooding in the region.",0,12/25/1999Yakovlev YAK-42D
12/21/1999,9:40,"Guatemala City, Guatemala",Guatemala City,Guatemala,Cubana de Aviacon,Others,261,Havana - Guatemala City,Havana,-82.388557,23.1168,,Guatemala City,-90.532818,14.624795,,McDonnell Douglas DC-10-30,F-GTDI,46890/77,314,16,2,"While attempting to land at La Aurora International Airport, the aircraft overshot the runway, rolled down an embankment and crashed into houses in the La Libertad section of the city. Witnesses say the plane was unable to stop after it began its landing too far down the runway. The crew failed to initiate a go-around after overshooting on a wet runway with insufficient deceleration to make a safe stop. Leased from AOM.",0,12/21/1999McDonnell Douglas DC-10-30
8/30/2002,13:08,"Lexington, Kentucky",Lexington,Kentucky,Care Flight International,Others,,"Marco, Fl - Lexington, KY",Marco,-81.7075355,25.9397412,Fl,Lexington,-84.5037164,38.0405837,KY,Learjet 25C,N45CP,25-073,5,1,0,"While attempting to land the air ambulance, the thrust reverser deployed lights did not illuminate, so the captain stowed the thrust reverse levers and activated them again with the same result. The captain then released and reapplied the brakes with no effect. The airplane then overran the runway and the right wing struck the ILS antennas and lighting. The plane came to rest and burst into flames. The captain's addition of forward thrust during the landing rollout, which resulted in a lack of braking effectiveness and a subsequent runway overrun. A factor was the captain's inability to deploy the thrust reversers for undetermined reasons.",1,8/30/2002Learjet 25C
10/25/1999,11:20,"Aberdeen, South Dakota",Aberdeen,South Dakota,Private charter,Others,,"Orlando, FL - Dallas, TX",Orlando,-81.3792365,28.5383355,FL,Dallas,-96.8004511,32.7801399,TX,Gates Learjet 35,N47BA,60,6,6,0,"The plane scheduled to fly from Orlando, Florida to Dallas, Texas flew out of control for 1,500 miles before nose-diving into a grassy farm field in South Dakota, after running out of fuel. The plane's altitude varied between 22,000 and 51,000 feet during the flight. A possible pressurization failure, as indicated by frosted windows, observed by fighter jet pilots trailing the plane, may have killed all aboard. Pro golfer, Payne Stewart, 42, killed. Incapacitation of the flight crewmembers as a result of their failure to receive supplemental oxygen following a loss of cabin pressurization, for undetermined reasons.",0,10/25/1999Gates Learjet 35
3/26/2005,10:15,"El Embrujo, Providencia Island, Colombia",El Embrujo,"Providencia Island, Colombia",West Caribbean Airways,Others,,Old Providence - San Andres,Old Providence,-81.3784351,13.3561196,,San Andres,-81.7048419,12.5819157,,Let-410UVP-E,HK-4146,902426,14,8,0,The small airliner crashed while taking off from the Colombian Caribbean Island of Old Providence. The aircraft climbed to a height of about 100 feet and then lost control and crashed into a hill.,0,3/26/2005Let-410UVP-E
3/14/2002,16:30,"Near Placetas, Cuba",Near Placetas,Cuba,Charter - Aerotaxi,Others,,Cienfuegos -- Cayo Coco,Cienfuegos,-80.44368,22.149969,,#NAME?,-84.4002211,33.7825176,,Antonov AN-2,CU-T1020,,17,17,0,"While en-route, 35 minutes into the flight, the bi-plane crashed near Santa Clara. The plane was seen spinning out of control before it hit the ground. A strong gust of wind, possibly a small tornado, tore off the top part of the left wing.",0,3/14/2002Antonov AN-2
11/20/2000,12:22,"Miami, Florida",Miami,Florida,American Airlines,Others,,"Miami, FL - Port au Prince",Miami,-80.2264393,25.7889689,FL,Port au Prince,-72.336408,18.539269,,Airbus A300-600R,N14056,463,114,1,0,"After climbing through 16,000 ft. the crew descovered cabin pressure could not be maintained and returned to the airport.  After landing the ram air switch failed to depressurize the aircraft. Moments later the left foreward door exploded open ejecting a flight attendant onto the tarmac.",0,11/20/2000Airbus A300-600R
12/19/2005,14:40,"Off Miami Beach, Florida",Off Miami Beach,Florida,Chalk's Ocean Airways,Others,101,"Miami, Florida - Bimini, Bahamas",Miami,-80.2264393,25.7889689,Florida,Bimini,-79.2730734,25.7335837,Bahamas,Grumman G73T Turbo Mallard,N2969,J-27,20,20,0,"The seaplane crashed off Miami Beach next to a jetty as it was taking off. There was an explosion and fire and the right wing separated prior to the plane impacting the water. Examination of the wreckage revealed fatigue cracks in the right wing. The failure of Chalk's Ocean Airways' maintenance program to identify and properly repair fatigue cracks in the wing, and the failure of the FAA to detect and correct deficiencies in the company's maintenance program. Although a 16-inch crack in the wing had been patched, a more significant flaw in a nearby support beam hadn't been repaired. The carrier had no record of patching the crack.",0,12/19/2005Grumman G73T Turbo Mallard
7/13/2003,15:30,"Off Treasure Cay, Bahamas",Off Treasure Cay,Bahamas,Air Sunshine,Others,,"Ft. Lauderdale, FL - Treasure Cay",Ft. Lauderdale,-80.1373174,26.1224386,FL,Treasure Cay,-77.2666667,26.6666667,,Cessna 402C,N314AB,402C0413,10,2,0,"Twenty miles west of its destination, at an altitude of 3,500 ft., the right engine began coming apart and throwing parts out of the cowling. Although the right engine was feathered, flaps and gear retracted and full power applied t the left engine, the plane could not maintain altitude and the pilot ditched the aircraft 15 miles from its destination. All passengers and the pilot were able to exit from the plane before it sank but 2 passengers subsequently died. The in-flight failure of the right engine and the pilot's failure to adequately manage the airplane's performance after the engine failed. The right engine failure resulted for inadequate maintenance that was performed by Air Sunshine's maintenance personnel during undocumented maintenance. Contributing to the passenger fatalities was the pilot's failure to provide an emergency briefing after the right engine failed.",3,7/13/2003Cessna 402C
6/23/2000,11:41,"Boca Raton, Florida",Boca Raton,Florida,Universal Jet Aviation,Others,,Boca Raton - Fort Pierce,Boca Raton,-80.1289321,26.3683064,,Fort Pierce,-80.3256056,27.4467056,,Learjet 55,N220JC,55-050,3,3,,Shortly after takeoff the aircraft impacted another plane and crashed to the ground. The failure of the pilot's of both airplanes to maintain a visual lookout while climbing and maneuvering resulting in an in-flight collision and subsequent collision with residences and terrain.,1,6/23/2000Learjet 55
11/22/2001,13:05,"Pittsburgh, Pennsylvania",Pittsburgh,Pennsylvania,Universal Jet Aviation,Cargo,,"Pittsburgh, PA - Baca Raton, Fl",Pittsburgh,-79.9958864,40.4406248,PA,Baca Raton,-80.1289321,26.3683064,Fl,Learjet 25B,N5UJ,25-088,2,2,0,"The cargo plane was not able to gain altitude, veered off the runway and crashed. The (undetermined) pilot-at-the-controls' early, and over rotation of the airplane's nose during the takeoff attempt, and his failure to maintain directional control. Also causal, was the captain's inadequate remedial action, both during the takeoff attempt and after the airplane departed the runway.",1,11/22/2001Learjet 25B
8/16/2005,3:30,"Near La Cucharita, Venezuela",Near La Cucharita,Venezuela,West Caribbean Airways,Others,,"Panama City - Fort de France, Martinique",Panama City,-79.518792,8.9942689,,Fort de France,-61.07256,14.609371,Martinique,McDonnell Douglas MD-82,HK-4374X,49484/1315,160,160,0,"While en route, the crew reported engine trouble with both engines and planed to divert to Caracas. The plane began losing altitude and eventually crashed in the Sierra de Perija mountains on the Columbian-Venezuelan border. The autopilot might have reduced engine power too much after a rapid climb to FL330, allowing airspeed to bleed off to the point of a stall. Also the data recorder showed that rather than push the nose over to recover from the stall, the pilots held the yoke to their chests all the way to the ground.",3,8/16/2005McDonnell Douglas MD-82
3/17/2000,9:30,"Near Kuna Yala, Panama",Near Kuna Yala,Panama,Aeroperlas,Others,,Panama City - Puerto Obaldia,Panama City,-79.518792,8.9942689,,Puerto Obaldia,-77.4167,8.66667,,de Havilland Canada DHC-6 Twin Otter 300,HP-1267APP,624,10,10,0,"Crashed into a jungle mountainside 15 miles short of its destination while en route. The wreckage was found at the 2,500 ft. level of a 2,790 ft. mountain.  Weather was poor at the time.",2,3/17/2000de Havilland Canada DHC-6 Twin Otter 300
8/24/2001,18:46,"Terceira, Azores",Terceira,Azores,Canadian Air Transat,Others,236,Toronto - Lisbon,Toronto,-79.3831843,43.653226,,Lisbon,-9.1393366,38.7222524,,Airbus A-330-243,C-GITS,271,304,0,0,"The crew reported that they had a loss of fuel and were going to have to divert to Lajes. Shortly thereafter, they said that they only had five minutes of fuel and probably would not reach Lajes. The Airbus 330, without engine power, glided for almost 20 minutes, descending from for more than 30,000 ft. before landing safely at Lajes Airport. Several tires blew out causing a fire which was quickly extinguished by emergency crews.  Eleven passengers were slightly injured. The leak was caused by a damaged fuel feed pipe that was caused by interference from the aft hydraulipump. Mechanics did not completely follow a Rolls-Royce service bulletin. In addition, software mistakenly identified the  fuel leak as a fuel imbalance, prompting the crew to respond erroneously to the situation. The official report stated the cause was the pilots responded incorrectly to the fuel leak.  The pilots acted from memory rather than utilizing a checklist, so they never saw a 'Caution' note in the Fuel Imbalance checklist that might have caused them to consider that the real problem was not an imbalance but a fuel leak.",3,8/24/2001Airbus A-330-243
5/29/2008,14:13,"Panama City, Panama",Panama City,Panama,Military - Servicio Aereo Nacional,Military,,Tocumen - Colon,Tocumen,-79.3775294,9.1031635,,Colon,-79.900015,9.358577,,Bell UN-1N Huey,SAN-100,,12,11,0,"Chile's national police chief General Jose Alejandro Bernales, 59, and five others were killed when their helicopter crashed into a three story building. The helicopter pitched wildly before crashing into the building.",0,5/29/2008Bell UN-1N Huey
1/28/2002,11:00,"Near Ipiales, Colombia",Near Ipiales,Colombia,TAME,Others,120,Quito -  TulcÃ¡n - Cali,Quito,-78.4678382,-0.1806532,,TulcÃ¡n - Cali,-76.5222222,3.4205556,,Boeing B-727-134,HC-BLF,19692/498,92,92,0,"The airliner crashed into the fogbound 15,721 ft. Nevado de Cumbal volcano, in the Andes mountains, near the Ecuador / Colombian border. Air trafficontrol lost contact with the plane as it circled into Colombian territory to maneuver around snow capped mountain peaks and return to the Ecuadorian border city of TulcÃ¡n.",0,1/28/2002Boeing B-727-134
1/17/2002,11:00,"Near La Bonita, Ecuador",Near La Bonita,Ecuador,PetroproducciÃ³n,Others,,Quito - Lago Agrio,Quito,-78.4678382,-0.1806532,,Lago Agrio,-76.8827778,0.0847222,,Fairchild FH-227E,HC-AYM,511,26,26,0,"The plane crashed into del cerro El Tigre mountain in the jungles of the Amazon at an elevation of 14,700 ft.  The 35 minute flight was transporting oil workers to a remote oil field.",0,1/17/2002Fairchild FH-227E
4/25/2007,14:05,"Near Kopinang, Guyana",Near Kopinang,Guyana,Air Services,Others,,Kato - Kopinang,Kato,-77.8324206,41.0866282,,Kopinang,27.6851996,-26.3169395,,Pilatus Britten Norman BN-2A-27 Islander,8R-GET,484,5,3,0,The plane landed at Kato and could not take off because of bad weather. Twenty minutes after eventually taking off the plane crashed into mountains while en route. A mother and her five-year-old son walked for about 16 hours through Guyana's jungle to safety after surviving the crash.,2,4/25/2007Pilatus Britten Norman BN-2A-27 Islander
